member_id	first_name	last_name	position	iso2c	country	group_code	group_label	group_short_label
197711	Dolors	MONTSERRAT	Did Not Vote	ES	Spain	EPP	European People’s Party	EPP
72779	Nadine	MORANO	Abstain	FR	France	EPP	European People’s Party	EPP
28347	Javier	MORENO SÁNCHEZ	For	ES	Spain	SD	Progressive Alliance of Socialists and Democrats	S&D
124799	Alessandra	MORETTI	For	IT	Italy	SD	Progressive Alliance of Socialists and Democrats	S&D
254876	Ricardo	MORGADO	For	PT	Portugal	EPP	European People’s Party	EPP
197427	Marlene	MORTLER	For	DE	Germany	EPP	European People’s Party	EPP
197647	Dan-Ştefan	MOTREANU	For	RO	Romania	EPP	European People’s Party	EPP
197541	Andżelika Anna	MOŻDŻANOWSKA	Against	PL	Poland	ECR	European Conservatives and Reformists	ECR
124802	Siegfried	MUREŞAN	For	RO	Romania	EPP	European People’s Party	EPP
28429	Alessandra	MUSSOLINI	For	IT	Italy	EPP	European People’s Party	EPP
124862	Ulrike	MÜLLER	Did Not Vote	DE	Germany	RENEW	Renew Europe	Renew
190519	Caroline	NAGTEGAAL	For	NL	Netherlands	RENEW	Renew Europe	Renew
125005	Javier	NART	For	ES	Spain	RENEW	Renew Europe	Renew
