position,member.id,member.first_name,member.last_name,member.country.code,member.country.label,member.country.iso_alpha_2,member.group.code,member.group.label,member.group.short_label
VotePosition.FOR,197421,Isabel,WISELER-LIMA,LUX,Luxembourg,LU,EPP,European People’s Party,EPP
VotePosition.AGAINST,124877,Jadwiga,WIŚNIEWSKA,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,5392,Lara,WOLTERS,NLD,Netherlands,NL,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,185619,Tiemo,WÖLKEN,DEU,Germany,DE,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.FOR,197511,Salima,YENBOU,FRA,France,FR,RENEW,Renew Europe,Renew
VotePosition.FOR,197581,Stéphanie,YON-COURTIN,FRA,France,FR,RENEW,Renew Europe,Renew
VotePosition.DID_NOT_VOTE,197842,Elena,YONCHEVA,BGR,Bulgaria,BG,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.DID_NOT_VOTE,125067,Theodoros,ZAGORAKIS,GRC,Greece,GR,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.AGAINST,23712,Jan,ZAHRADIL,CZE,Czechia,CZ,ECR,European Conservatives and Reformists,ECR
VotePosition.AGAINST,197572,Anna,ZALEWSKA,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.FOR,197586,Stefania,ZAMBELLI,ITA,Italy,IT,EPP,European People’s Party,EPP
VotePosition.AGAINST,124780,Marco,ZANNI,ITA,Italy,IT,ID,Identity and Democracy,ID
VotePosition.ABSTENTION,197606,Javier,ZARZALEJOS,ESP,Spain,ES,EPP,European People’s Party,EPP
VotePosition.ABSTENTION,124713,Tomáš,ZDECHOVSKÝ,CZE,Czechia,CZ,EPP,European People’s Party,EPP
VotePosition.AGAINST,197489,Bernhard,ZIMNIOK,DEU,Germany,DE,ID,Identity and Democracy,ID
VotePosition.ABSTENTION,197621,Juan Ignacio,ZOIDO ÁLVAREZ,ESP,Spain,ES,EPP,European People’s Party,EPP
VotePosition.FOR,124739,Carlos,ZORRINHO,PRT,Portugal,PT,SD,Progressive Alliance of Socialists and Democrats,S&D
VotePosition.DID_NOT_VOTE,185341,Željana,ZOVKO,HRV,Croatia,HR,EPP,European People’s Party,EPP
VotePosition.FOR,125237,Marco,ZULLO,ITA,Italy,IT,RENEW,Renew Europe,Renew
VotePosition.FOR,96933,Milan,ZVER,SVN,Slovenia,SI,EPP,European People’s Party,EPP
VotePosition.DID_NOT_VOTE,28615,Roberts,ZĪLE,LVA,Latvia,LV,ECR,European Conservatives and Reformists,ECR
VotePosition.AGAINST,124884,Kosma,ZŁOTOWSKI,POL,Poland,PL,ECR,European Conservatives and Reformists,ECR
VotePosition.AGAINST,125025,Marcel,de GRAAFF,NLD,Netherlands,NL,NI,Non-attached Members,Non-attached
VotePosition.FOR,197766,Lucia,ĎURIŠ NICHOLSONOVÁ,SVK,Slovakia,SK,RENEW,Renew Europe,Renew
VotePosition.AGAINST,96791,Elżbieta Katarzyna,ŁUKACIJEWSKA,POL,Poland,PL,EPP,European People’s Party,EPP
VotePosition.DID_NOT_VOTE,58766,Nicolae,ŞTEFĂNUȚĂ,ROU,Romania,RO,GREEN_EFA,Greens/European Free Alliance,Greens/EFA
VotePosition.ABSTENTION,124710,Michaela,ŠOJDROVÁ,CZE,Czechia,CZ,EPP,European People’s Party,EPP
VotePosition.ABSTENTION,124929,Ivan,ŠTEFANEC,SVK,Slovakia,SK,EPP,European People’s Party,EPP
VotePosition.AGAINST,28619,Tatjana,ŽDANOKA,LVA,Latvia,LV,NI,Non-attached Members,Non-attached
