date,sellrate
2021-03-12,9.16412686
2021-03-15,9.1764001
2021-03-16,9.16606474
2021-03-17,9.17177072
2021-03-18,9.17177072
2021-03-19,9.1909342
2021-03-22,9.2070832
2021-03-23,9.22204794
2021-03-24,9.25111614
2021-03-25,9.29385716
2021-03-26,9.29385716
2021-03-29,9.3508093
2021-03-30,9.39861034
2021-03-31,9.39215074
2021-04-06,9.3884903
2021-04-07,9.38601412
2021-04-08,9.38601412
2021-04-09,9.38601412
2021-04-12,9.38601412
2021-04-13,9.38601412
2021-04-14,9.38601412
2021-04-15,9.10728238
2021-04-16,9.1387191
2021-04-19,9.1387191
2021-04-20,9.1387191
2021-04-21,9.10566748
2021-04-22,9.09037976
2021-04-23,9.09037976
2021-04-26,9.1813
2021-04-27,9.09037976
2021-04-28,9.09037976
2021-04-29,9.09037976
2021-05-03,9.09770064
2021-05-04,9.10728238
2021-05-05,9.15314554
2021-05-06,9.12989098
2021-05-07,9.12989098
2021-05-10,9.12989098
2021-05-11,9.12989098
2021-05-12,9.12989098
2021-05-17,9.12989098
2021-05-18,8.9443928
2021-05-19,8.9443928
2021-05-20,8.98788744
2021-05-21,8.9443928
2021-05-24,8.97626016
2021-05-25,8.92512166
2021-05-26,8.92512166
2021-05-27,8.95494348
2021-05-28,8.9330885
2021-05-31,8.9422396
2021-06-01,8.92512166
2021-06-02,8.92404506
2021-06-03,8.92404506
2021-06-04,8.9874568
2021-06-07,8.92404506
2021-06-08,8.91618588
2021-06-09,8.90735776
2021-06-10,8.91887738
2021-06-11,8.89454622
2021-06-14,8.96549416
2021-06-15,8.96226436
2021-06-16,8.9826121
2021-06-17,9.16391154
2021-06-18,9.23195266
2021-06-21,9.28772054
2021-06-22,9.23195266
2021-06-23,9.23195266
2021-06-24,9.23195266
2021-06-28,9.23195266
2021-06-29,9.19190314
2021-06-30,9.17898394
2021-07-01,9.2377663
2021-07-02,9.25843702
2021-07-05,9.23012244
2021-07-06,9.23012244
2021-07-07,9.2415344
2021-07-08,9.3045155
2021-07-09,9.3045155
2021-07-12,9.3045155
2021-07-13,9.25509956
2021-07-14,9.31937258
2021-07-15,9.30107038
2021-07-16,9.30107038
2021-07-19,9.38030814
2021-07-20,9.38030814
2021-07-21,9.39990226
2021-07-22,9.37384854
2021-07-23,9.37384854
2021-07-26,9.35651528
2021-07-27,9.35651528
2021-07-28,9.35651528
2021-07-29,9.3201262
2021-07-30,9.3201262
2021-08-02,9.3201262
2021-08-03,9.25369998
2021-08-04,9.2679111
2021-08-05,9.27415538
2021-08-06,9.28739756
2021-08-09,9.34370374
2021-08-10,9.37783196
2021-08-11,9.3976414
2021-08-12,9.3750328
2021-08-13,9.3750328
2021-08-16,9.3750328
2021-08-17,9.35845316
2021-08-18,9.41583594
2021-08-19,9.43941348
2021-08-20,9.51918954
2021-08-23,9.46029952
2021-08-24,9.37675536
2021-08-25,9.37675536
2021-08-26,9.37675536
2021-08-27,9.3868754
2021-08-30,9.37675536
2021-08-31,9.2619898
2021-09-01,9.29999378
2021-09-02,9.26866472
2021-09-03,9.2619898
2021-09-06,9.2619898
2021-09-07,9.21860282
2021-09-08,9.28610564
2021-09-09,9.2872899
2021-09-10,9.2609132
2021-09-13,9.3535
2021-09-14,9.27103324
2021-09-15,9.27103324
2021-09-16,9.28222988
2021-09-17,9.2845984
2021-09-20,9.39398096
2021-09-21,9.33972032
2021-09-22,9.34908674
2021-09-23,9.33972032
2021-09-24,9.33972032
2021-09-27,9.36566638
2021-09-28,9.40054822
2021-09-29,9.41497466
2021-09-30,9.46449826
2021-10-01,9.46449826
2021-10-04,9.42584832
2021-10-05,9.42380278
2021-10-06,9.47720214
2021-10-07,9.46395996
2021-10-08,9.47504894
2021-10-11,9.46395996
2021-10-12,9.46395996
2021-10-13,9.46395996
2021-10-14,9.44328924
2021-10-15,9.44328924
2021-10-18,9.44328924
2021-10-19,9.34122756
2021-10-20,9.34122756
2021-10-21,9.28115328
2021-10-22,9.28115328
2021-10-25,9.28115328
2021-10-26,9.28169158
2021-10-27,9.28341414
2021-10-28,9.27264814
2021-10-29,9.27264814
2021-11-01,9.27264814
2021-11-02,9.25197742
2021-11-03,9.25197742
2021-11-04,9.23636672
2021-11-08,9.2463791
2021-11-09,9.23227564
2021-11-10,9.25972894
2021-11-11,9.40367036
2021-11-12,9.40367036
2021-11-15,9.42789386
2021-11-16,9.48258514
2021-11-17,9.56257652
2021-11-18,9.54427432
2021-11-19,9.62706486
2021-11-22,9.66065478
2021-11-23,9.69919706
2021-11-24,9.74441426
2021-11-25,9.80384258
2021-11-26,9.86359388
2021-11-29,9.85282788
2021-11-30,9.80384258
2021-12-01,9.80384258
2021-12-02,9.78640166
2021-12-03,9.81622348
2021-12-06,9.83754016
2021-12-07,9.78640166
2021-12-08,9.78640166
2021-12-09,9.7766046
2021-12-10,9.7766046
2021-12-13,9.80814898
2021-12-14,9.8175154
2021-12-15,9.82752778
2021-12-16,9.8175154
2021-12-17,9.8175154
2021-12-20,9.845507
2021-12-21,9.845507
2021-12-22,9.8519666
2021-12-23,9.84722956
2021-12-27,9.84722956
2021-12-28,9.84722956
2021-12-29,9.84722956
2021-12-30,9.75302706
2022-01-03,9.7545343
2022-01-04,9.78672464
2022-01-07,9.8223601
2022-01-10,9.8223601
2022-01-11,9.78231058
2022-01-12,9.8072877
2022-01-13,9.78231058
2022-01-14,9.78231058
2022-01-17,9.78231058
2022-01-18,9.7604556
2022-01-19,9.83538696
2022-01-20,9.83538696
2022-01-21,9.88351098
2022-01-24,9.90762682
2022-01-25,9.985465
2022-01-26,9.98374244
2022-01-27,10.07934452
2022-01-28,10.17203978
2022-01-31,10.09969226
2022-02-01,10.0188396
2022-02-02,10.0188396
2022-02-03,10.0188396
2022-02-04,10.0188396
2022-02-07,10.119
2022-02-08,9.86090238
2022-02-09,9.86090238
2022-02-10,9.86090238
2022-02-11,10.02066982
2022-02-14,10.12197788
2022-02-15,10.09840034
