obs,tb3,tb6,time,time2
1986M10,5.17999982833862,5.26000022888184,70,4900
1986M11,5.34999990463257,5.40999984741211,71,5041
1986M12,5.53000020980835,5.55000019073486,72,5184
1987M01,5.42999982833862,5.44000005722046,73,5329
1987M02,5.59000015258789,5.59000015258789,74,5476
1987M03,5.59000015258789,5.59999990463257,75,5625
1987M04,5.6399998664856,5.90000009536743,76,5776
1987M05,5.65999984741211,6.05000019073486,77,5929
1987M06,5.67000007629395,5.98999977111816,78,6084
1987M07,5.69000005722046,5.76000022888184,79,6241
1987M08,6.03999996185303,6.15000009536743,80,6400
1987M09,6.40000009536743,6.6399998664856,81,6561
1987M10,6.13000011444092,6.69000005722046,82,6724
1987M11,5.69000005722046,6.19000005722046,83,6889
1987M12,5.76999998092651,6.3600001335144,84,7056
1988M01,5.80999994277954,6.25,85,7225
1988M02,5.65999984741211,5.92999982833862,86,7396
1988M03,5.69999980926514,5.90999984741211,87,7569
1988M04,5.90999984741211,6.21000003814697,88,7744
1988M05,6.26000022888184,6.55999994277954,89,7921
1988M06,6.46000003814697,6.71000003814697,90,8100
1988M07,6.73000001907349,6.98999977111816,91,8281
1988M08,7.05999994277954,7.3899998664856,92,8464
1988M09,7.23999977111816,7.42999982833862,93,8649
1988M10,7.34999990463257,7.5,94,8836
1988M11,7.76000022888184,7.8600001335144,95,9025
1988M12,8.06999969482422,8.22000026702881,96,9216
1989M01,8.27000045776367,8.35999965667725,97,9409
1989M02,8.52999973297119,8.55000019073486,98,9604
1989M03,8.81999969482422,8.85000038146973,99,9801
1989M04,8.64999961853027,8.64999961853027,100,10000
1989M05,8.43000030517578,8.40999984741211,101,10201
1989M06,8.14999961853027,7.92999982833862,102,10404
1989M07,7.88000011444092,7.6100001335144,103,10609
1989M08,7.90000009536743,7.73999977111816,104,10816
1989M09,7.75,7.73999977111816,105,11025
1989M10,7.6399998664856,7.61999988555908,106,11236
1989M11,7.69000005722046,7.48999977111816,107,11449
1989M12,7.63000011444092,7.42000007629395,108,11664
1990M01,7.6399998664856,7.55000019073486,109,11881
1990M02,7.73999977111816,7.69999980926514,110,12100
1990M03,7.90000009536743,7.84999990463257,111,12321
1990M04,7.76999998092651,7.84000015258789,112,12544
1990M05,7.73999977111816,7.76000022888184,113,12769
1990M06,7.73000001907349,7.63000011444092,114,12996
1990M07,7.61999988555908,7.51999998092651,115,13225
1990M08,7.44999980926514,7.38000011444092,116,13456
1990M09,7.3600001335144,7.32000017166138,117,13689
1990M10,7.17000007629395,7.15999984741211,118,13924
1990M11,7.05999994277954,7.03000020980835,119,14161
1990M12,6.73999977111816,6.69999980926514,120,14400
1991M01,6.21999979019165,6.28000020980835,121,14641
1991M02,5.94000005722046,5.92999982833862,122,14884
1991M03,5.90999984741211,5.92000007629395,123,15129
1991M04,5.65000009536743,5.71000003814697,124,15376
1991M05,5.46000003814697,5.6100001335144,125,15625
1991M06,5.57000017166138,5.75,126,15876
1991M07,5.57999992370606,5.69999980926514,127,16129
1991M08,5.32999992370606,5.3899998664856,128,16384
1991M09,5.21999979019165,5.25,129,16641
1991M10,4.98999977111816,5.03999996185303,130,16900
1991M11,4.55999994277954,4.6100001335144,131,17161
1991M12,4.07000017166138,4.09999990463257,132,17424
1992M01,3.79999995231628,3.86999988555908,133,17689
1992M02,3.83999991416931,3.9300000667572,134,17956
1992M03,4.03999996185303,4.17999982833862,135,18225
1992M04,3.75,3.86999988555908,136,18496
