pce,pdi,lnpce,lnpdi,time
4800.10009765625,5359.60009765625,8.47639179229736,8.58664417266846,87
4795.89990234375,5389.39990234375,8.4755163192749,8.59218978881836,88
4875,5473.89990234375,8.49187564849854,8.60774707794189,89
4903,5514.60009765625,8.49760246276856,8.61515426635742,90
4951.7998046875,5537.39990234375,8.50750637054443,8.6192798614502,91
5009.39990234375,5619.2001953125,8.51907157897949,8.63394451141357,92
5027.2998046875,5512.10009765625,8.52263832092285,8.61470127105713,93
5071.89990234375,5590.2001953125,8.53147029876709,8.62877082824707,94
5127.2998046875,5597.39990234375,8.54233455657959,8.6300573348999,95
5172.89990234375,5677.2001953125,8.55118846893311,8.64421367645264,96
5230.2998046875,5629.89990234375,8.56222343444824,8.63584709167481,97
5268,5733.10009765625,8.56940650939941,8.65401172637939,98
5305.7001953125,5770.7998046875,8.57653713226318,8.66056632995606,99
5358.7001953125,5850.89990234375,8.58647632598877,8.67435073852539,100
5367.2001953125,5886.39990234375,8.58806133270264,8.68039989471436,101
5411.7001953125,5881.7001953125,8.59631824493408,8.67960071563721,102
5458.7998046875,5912.10009765625,8.60498428344727,8.6847562789917,103
5496.10009765625,5943.2998046875,8.61179447174072,8.69001960754395,104
5544.60009765625,6010,8.62057971954346,8.70118045806885,105
5604.89990234375,6059.7998046875,8.63139629364014,8.70943164825439,106
5640.7001953125,6111.2998046875,8.63776302337647,8.71789455413818,107
5687.60009765625,6142.5,8.64604377746582,8.72298717498779,108
5749.10009765625,6201.2998046875,8.65679836273193,8.73251438140869,109
5775.7998046875,6251.89990234375,8.66143226623535,8.74064064025879,110
5870.7001953125,6323.2998046875,8.67772960662842,8.75199604034424,111
5931.39990234375,6406.60009765625,8.68801593780518,8.7650842666626,112
5996.7998046875,6543.39990234375,8.69898128509522,8.78621196746826,113
6092.10009765625,6638.60009765625,8.71474838256836,8.80065631866455,114
6165.7001953125,6710.89990234375,8.72675704956055,8.81148815155029,115
6248.7998046875,6763,8.74014472961426,8.81922149658203,116
6311.2998046875,6812.89990234375,8.75009727478027,8.82657337188721,117
6409.7001953125,6822.10009765625,8.76556777954102,8.82792282104492,118
6476.7001953125,6856,8.77596664428711,8.83287906646729,119
6556.7998046875,6955.60009765625,8.78825759887695,8.84730243682861,120
6661.2998046875,7109.7001953125,8.80406951904297,8.86921501159668,121
6703.2998046875,7157.5,8.8103551864624,8.87591648101807,122
6768,7249.2998046875,8.81996059417725,8.8886604309082,123
6825,7259.60009765625,8.82834720611572,8.89008045196533,124
6853.10009765625,7283,8.83245658874512,8.89329814910889,125
6870.2998046875,7252.10009765625,8.83496284484863,8.88904666900635,126
6900.5,7452.2001953125,8.83934879302979,8.91626453399658,127
7017.60009765625,7346,8.85617637634277,8.90191078186035,128
7042.2001953125,7549.89990234375,8.85967636108398,8.92928981781006,129
7083.5,7585.2001953125,8.86552333831787,8.9339542388916,130
7123.2001953125,7555.5,8.87111282348633,8.93003082275391,131
7148.2001953125,7559.2998046875,8.87461566925049,8.93053340911865,132
7184.89990234375,7591.7001953125,8.87973690032959,8.93481063842773,133
7249.2998046875,7685.7001953125,8.8886604309082,8.94711685180664,134
7352.89990234375,7804.7998046875,8.90285015106201,8.96249389648438,135
7394.2998046875,7837.2998046875,8.9084644317627,8.96665000915527,136
7475.10009765625,7908.7001953125,8.91933250427246,8.97571849822998,137
7520.5,7955.10009765625,8.92538833618164,8.98156833648682,138
7585.5,8012.2001953125,8.93399333953857,8.98872089385986,139
7664.2998046875,8158.7998046875,8.94432830810547,9.00685214996338,140
7697.5,8060.39990234375,8.94865131378174,8.99471855163574,141
7766.39990234375,8110,8.95756244659424,9.00085353851318,142
7838.10009765625,8084,8.96675205230713,8.99764251708984,143
7864.89990234375,8231.7998046875,8.97016525268555,9.01576042175293,144
7947.39990234375,8334.2001953125,8.98060035705566,9.0281229019165,145
8002.10009765625,8360.400390625,8.98745918273926,9.0312614440918,146
8046.2998046875,8407.099609375,8.99296760559082,9.03683185577393,147
8119.89990234375,8526.2001953125,9.00207328796387,9.05089950561523,148
8197.2001953125,8617.7001953125,9.01154804229736,9.06157398223877,149
8237.2998046875,8604.5,9.01642799377441,9.06004047393799,150
8278.5,8671.099609375,9.02141666412354,9.06775093078613,151
8298.2001953125,8683.099609375,9.02379417419434,9.06913375854492,152
8316.099609375,8667.900390625,9.0259485244751,9.06738185882568,153
8341.2998046875,8891,9.02897453308106,9.09279441833496,154
8260.599609375,8689.099609375,9.01925277709961,9.06982421875,155
8186.89990234375,8760.400390625,9.01029014587402,9.0779972076416,156
